Suburb,Rooms,Type,Price,Method,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,CouncilArea,Regionname,Propertycount
West Melbourne,2,u,620000,S,1.9,2,1,1,0,83,Melbourne City Council,Northern Metropolitan,2230
West Melbourne,4,h,2100000,S,1.9,4,1,0,440,,Melbourne City Council,Northern Metropolitan,2230
West Melbourne,3,u,601000,S,1.9,2,1,1,0,81,Melbourne City Council,Northern Metropolitan,2230
Williamstown,4,h,1325000,S,8,3,2,1,452,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,4,h,1400000,S,8,4,2,1,320,160,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,h,920000,SP,8,,,,,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,h,1535000,S,8,3,1,1,507,186,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,u,890000,S,8,3,1,3,0,111,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,4,h,1400000,PI,8,4,2,4,457,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,h,1800000,VB,8,3,2,2,332,252,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,2,h,1050000,S,8,2,1,4,445,148,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,2,h,850000,SP,8,2,1,1,278,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,4,h,2910000,SP,8,4,3,0,338,196,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,h,2910000,SP,8,3,3,2,515,286,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,4,h,2640000,S,8,4,2,2,650,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,h,1200000,S,8,3,2,2,315,174,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,4,h,2000000,S,8,,,,,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,4,h,3130000,S,8,4,2,2,897,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,2,h,1500000,SP,8,,,,,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,h,825000,S,8,,,,,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,h,1460000,S,8,3,1,2,373,107,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,1,u,310000,SP,8,1,1,1,0,58,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,h,1200000,S,8,3,2,2,348,200,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,h,1560000,SP,8,3,2,2,310,179,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,h,1575000,S,8,3,2,3,430,215,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,2,t,830000,SP,8,2,1,1,84,110,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,2,t,830000,SP,8,2,1,0,56,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,4,h,1085000,S,8,3,1,2,458,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,4,h,1815000,PI,8,4,3,2,321,287,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,h,1470000,S,8,3,2,1,364,93,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,4,h,2230000,S,8,3,2,2,782,212,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,t,1460000,S,8,3,2,2,506,180,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,5,h,1410000,SP,8,5,2,2,195,260,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,2,h,940000,S,8,2,1,0,166,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,4,h,1900000,SP,8,4,3,2,321,287,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,4,h,1330000,S,8,4,3,2,217,266,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,h,1010000,PI,8,3,2,2,250,185,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,h,1010000,S,8,3,2,2,418,204,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,2,u,450000,S,8,2,1,2,0,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,2,u,513500,S,8,2,1,1,0,72,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,2,h,1000000,S,8,2,1,0,240,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,2,u,415000,S,8,2,1,1,0,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,h,906000,SP,8,3,2,2,270,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,4,h,1805000,S,8,3,2,2,466,160,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,4,h,1126000,SP,8,4,1,1,307,150,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,t,935000,SP,8,3,2,1,233,194,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,h,1205000,SP,8,,,,,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,2,h,895000,SA,8,2,2,1,193,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,2,h,890000,VB,8,,,,,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,2,u,375000,SP,8,2,1,1,0,49,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,h,1000000,S,8,3,1,2,189,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,2,h,769000,S,8,2,1,1,265,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,h,1270000,S,8,3,1,2,470,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,4,h,1172000,S,8,4,2,2,344,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,h,1360000,S,8,3,1,1,477,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,4,h,2050000,S,8,4,2,2,648,285,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,h,975000,PI,8,3,2,2,289,158,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,h,1310000,S,8,3,2,1,185,139,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,4,t,830000,SP,8,4,1,2,0,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,2,u,491500,S,8,2,1,1,0,61,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,2,u,547500,SP,8,2,1,1,0,60,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,t,965000,S,8,3,2,1,151,148,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,h,1262000,S,8,3,2,2,204,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,h,1210000,S,8,3,1,0,249,85,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,2,u,412000,SP,8,2,1,1,0,65,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,2,h,1337500,SP,8,2,1,0,297,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,t,1230000,SP,8,,,,,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,2,h,811000,S,8,2,1,2,183,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,4,h,1630000,S,8,4,2,2,265,197,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,2,h,920000,S,8,2,1,1,307,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,h,960000,SP,8,3,2,1,189,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,h,1482500,S,8,3,2,1,506,139,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,4,h,1300000,PI,8,4,2,2,369,250,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,h,1378000,SP,8,,,,,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,4,h,2255000,S,8,4,1,3,765,257,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,4,h,1860000,S,8,4,2,0,199,242,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,h,1710000,SP,8,3,2,1,260,170,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,4,h,2440000,S,8,4,3,3,500,278,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,1,u,331000,S,8,1,1,1,0,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown,3,h,1230000,S,8,,,,,,Hobsons Bay City Council,Western Metropolitan,6380
Williamstown North,2,t,500000,VB,8.9,2,1,1,53,,Hobsons Bay City Council,Western Metropolitan,802
Williamstown North,3,h,1075000,SP,8.9,,,,,,Hobsons Bay City Council,Western Metropolitan,802
Williamstown North,2,u,580000,SP,8.9,,,,,,Hobsons Bay City Council,Western Metropolitan,802
Williamstown North,2,u,400000,SP,8.9,2,1,1,0,,Hobsons Bay City Council,Western Metropolitan,802
Williamstown North,5,h,1410000,SP,8.9,5,2,5,680,,Hobsons Bay City Council,Western Metropolitan,802
Williamstown North,1,u,285000,S,8.9,1,1,1,0,,Hobsons Bay City Council,Western Metropolitan,802
Williamstown North,2,u,460000,SP,8.9,2,1,1,0,,Hobsons Bay City Council,Western Metropolitan,802
Williamstown North,4,h,881000,SP,8.9,4,1,3,468,139,Hobsons Bay City Council,Western Metropolitan,802
Williamstown North,2,h,600000,SA,8.9,,,,,,Hobsons Bay City Council,Western Metropolitan,802
Williamstown North,2,u,380000,PI,8.9,2,1,1,0,64,Hobsons Bay City Council,Western Metropolitan,802
Williamstown North,4,h,1440000,SP,8.9,4,3,4,672,297,Hobsons Bay City Council,Western Metropolitan,802
Williamstown North,2,u,367500,S,8.9,2,1,1,0,61,Hobsons Bay City Council,Western Metropolitan,802
Williamstown North,1,u,355000,S,8.9,1,1,1,46,46,Hobsons Bay City Council,Western Metropolitan,802
Williamstown North,3,h,1225000,SP,8.9,3,1,1,311,126,Hobsons Bay City Council,Western Metropolitan,802
Windsor,2,u,580000,VB,5.1,2,2,1,0,78,Port Phillip City Council,Southern Metropolitan,4380
Windsor,3,h,1850000,VB,5.1,3,1,2,361,,Port Phillip City Council,Southern Metropolitan,4380
Windsor,3,u,825000,S,5.1,3,1,1,0,,Port Phillip City Council,Southern Metropolitan,4380
Windsor,3,h,2302000,S,5.1,3,1,4,440,144,Port Phillip City Council,Southern Metropolitan,4380
Windsor,2,h,1045000,S,5.1,2,1,2,118,,Port Phillip City Council,Southern Metropolitan,4380
Windsor,4,h,2050000,PI,5.1,4,2,1,321,,Port Phillip City Council,Southern Metropolitan,4380
Windsor,2,u,611000,S,5.1,2,1,1,598,75,Port Phillip City Council,Southern Metropolitan,4380
Windsor,2,u,600000,S,5.1,2,1,1,1043,,Port Phillip City Council,Southern Metropolitan,4380
Windsor,2,u,800000,S,5.1,2,1,1,0,92,Port Phillip City Council,Southern Metropolitan,4380
Windsor,1,u,275000,VB,5.1,1,1,1,0,44,Port Phillip City Council,Southern Metropolitan,4380
Windsor,2,h,1325000,S,5.1,2,1,0,153,,Port Phillip City Council,Southern Metropolitan,4380
Windsor,3,h,1540000,S,5.1,3,2,1,138,147,Port Phillip City Council,Southern Metropolitan,4380
Windsor,3,h,1370000,S,5.1,3,1,2,317,112,Port Phillip City Council,Southern Metropolitan,4380
Windsor,2,u,655000,PI,5.1,,,,,,Port Phillip City Council,Southern Metropolitan,4380
Windsor,1,u,372000,S,5.1,1,1,1,0,,Port Phillip City Council,Southern Metropolitan,4380
Windsor,1,u,412500,S,5.1,1,1,1,0,,Port Phillip City Council,Southern Metropolitan,4380
Windsor,1,u,452000,S,5.1,1,1,1,0,46,Port Phillip City Council,Southern Metropolitan,4380
Windsor,2,u,450000,PI,5.1,2,1,1,1057,,Port Phillip City Council,Southern Metropolitan,4380
Windsor,1,u,300000,VB,5.1,1,1,1,0,,Port Phillip City Council,Southern Metropolitan,4380
Windsor,2,u,520000,PI,5.1,2,1,1,0,,Port Phillip City Council,Southern Metropolitan,4380
Windsor,2,u,650000,S,5.1,2,2,1,0,,Port Phillip City Council,Southern Metropolitan,4380
Windsor,1,u,501000,PI,5.1,1,1,1,0,51,Port Phillip City Council,Southern Metropolitan,4380
Windsor,2,u,380000,VB,5.1,2,1,1,0,71,Port Phillip City Council,Southern Metropolitan,4380
Windsor,2,h,1177000,PI,5.1,2,2,2,521,122,Port Phillip City Council,Southern Metropolitan,4380
Windsor,4,h,1605000,S,5.1,4,1,1,230,,Port Phillip City Council,Southern Metropolitan,4380
Windsor,2,u,600000,S,5.1,2,1,1,0,83,Port Phillip City Council,Southern Metropolitan,4380
Windsor,2,h,1500000,S,5.1,2,1,2,0,96,Port Phillip City Council,Southern Metropolitan,4380
Windsor,3,u,830000,S,5.1,3,2,2,0,112,Port Phillip City Council,Southern Metropolitan,4380
Windsor,2,u,1200000,SP,5.1,2,2,1,0,111,Port Phillip City Council,Southern Metropolitan,4380
Windsor,1,u,300000,VB,5.1,1,1,1,705,,Port Phillip City Council,Southern Metropolitan,4380
Windsor,1,u,400000,VB,5.1,1,1,1,706,,Port Phillip City Council,Southern Metropolitan,4380
Windsor,2,u,623000,S,5.1,2,1,1,0,,Port Phillip City Council,Southern Metropolitan,4380
Windsor,2,u,600000,SP,5.1,2,1,1,1452,96,Port Phillip City Council,Southern Metropolitan,4380
Windsor,2,h,1325000,PI,5.1,2,1,0,140,,Port Phillip City Council,Southern Metropolitan,4380
Windsor,2,u,518000,S,5.1,2,1,1,0,,Port Phillip City Council,Southern Metropolitan,4380
Windsor,3,h,2368000,S,5.1,3,2,1,322,,Port Phillip City Council,Southern Metropolitan,4380
Windsor,2,h,1350000,S,5.1,2,1,2,181,,Port Phillip City Council,Southern Metropolitan,4380
Windsor,2,u,650000,VB,5.1,2,1,1,0,,Port Phillip City Council,Southern Metropolitan,4380
Windsor,3,h,1200000,S,5.1,3,1,1,116,,Port Phillip City Council,Southern Metropolitan,4380
Windsor,3,h,1320000,S,5.1,3,1,0,365,,Port Phillip City Council,Southern Metropolitan,4380
Windsor,2,u,580000,S,5.1,2,1,1,0,,Port Phillip City Council,Southern Metropolitan,4380
Windsor,2,u,555000,PI,5.1,2,1,1,0,,Port Phillip City Council,Southern Metropolitan,4380
Windsor,2,u,474000,S,5.1,2,1,1,0,66,Port Phillip City Council,Southern Metropolitan,4380
Windsor,2,h,1350000,S,5.1,2,1,1,157,101,Port Phillip City Council,Southern Metropolitan,4380
Windsor,3,h,1910000,S,5.1,3,3,1,143,89,Port Phillip City Council,Southern Metropolitan,4380
Yallambie,3,h,665000,S,15,,,,,,Banyule City Council,Northern Metropolitan,1369
Yallambie,4,h,700000,S,15,4,1,1,530,,Banyule City Council,Northern Metropolitan,1369
Yallambie,4,h,915000,S,15,4,3,1,531,237,Banyule City Council,Northern Metropolitan,1369
Yallambie,4,h,760000,S,15,,,,,,Banyule City Council,Northern Metropolitan,1369
Yallambie,3,h,715000,S,15,,,,,,Banyule City Council,Northern Metropolitan,1369
Yallambie,3,h,710000,PI,15,,,,,,Banyule City Council,Northern Metropolitan,1369
Yallambie,3,h,810000,S,15,3,2,2,568,173,Banyule City Council,Northern Metropolitan,1369
Yallambie,3,h,753000,S,15,3,2,1,536,154,Banyule City Council,Northern Metropolitan,1369
Yallambie,3,h,602500,S,15,3,2,2,586,140,Banyule City Council,Northern Metropolitan,1369
Yallambie,3,h,742000,S,15,3,1,1,614,117,Banyule City Council,Northern Metropolitan,1369
Yallambie,4,h,953000,S,15,4,2,2,551,150,Banyule City Council,Northern Metropolitan,1369
Yallambie,4,h,840000,S,15,4,2,2,761,,Banyule City Council,Northern Metropolitan,1369
Yallambie,3,h,650000,S,15,3,1,1,706,129,Banyule City Council,Northern Metropolitan,1369
Yallambie,4,h,793000,S,15,4,2,1,592,,Banyule City Council,Northern Metropolitan,1369
Yallambie,3,h,731000,S,15,3,2,2,566,156,Banyule City Council,Northern Metropolitan,1369
Yallambie,3,h,758000,S,15,,,,,,Banyule City Council,Northern Metropolitan,1369
Yallambie,3,h,710000,S,15,3,1,1,616,115,Banyule City Council,Northern Metropolitan,1369
Yallambie,3,h,788000,S,15,,,,,,Banyule City Council,Northern Metropolitan,1369
Yallambie,3,h,670000,VB,15,,,,,,Banyule City Council,Northern Metropolitan,1369
Yallambie,3,h,720000,S,15,4,2,4,535,,Banyule City Council,Northern Metropolitan,1369
Yallambie,3,h,720000,S,15,3,2,2,555,,Banyule City Council,Northern Metropolitan,1369
Yallambie,3,h,936000,S,15,3,2,2,587,232,Banyule City Council,Northern Metropolitan,1369
Yallambie,3,h,710000,S,15,,,,,,Banyule City Council,Northern Metropolitan,1369
Yallambie,3,h,800000,S,15,3,2,2,660,,Banyule City Council,Northern Metropolitan,1369
Yallambie,3,h,721000,S,15,3,1,1,687,122,Banyule City Council,Northern Metropolitan,1369
Yarraville,3,h,1000000,S,7,3,2,1,448,147,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,u,640000,PI,7,,,,,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,h,890000,SP,7,3,1,2,471,103,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,h,760000,SP,7,2,1,1,134,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,1165000,S,7,3,1,0,191,105,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,4,h,1550000,S,7,4,2,2,427,233,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,770000,VB,7,3,1,2,323,139,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,871000,S,7,3,2,2,428,100,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,780000,S,7,3,2,2,213,120,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,t,650000,VB,7,2,1,1,0,2,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,770000,SP,7,2,1,1,138,82,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,851000,S,7,,,,,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,h,890000,S,7,2,1,0,166,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,960000,S,7,3,1,1,503,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,4,h,1235000,SP,7,4,2,2,244,206,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,t,670000,PI,7,3,2,2,152,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,h,960000,S,7,2,2,1,159,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,h,1000000,VB,7,2,1,1,220,105,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,h,710000,S,7,2,1,0,164,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,1320000,S,7,3,2,2,473,171,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,1100000,VB,7,3,2,0,214,129,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,u,782000,S,7,2,1,1,1555,92,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,931000,S,7,3,1,1,442,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,910000,S,7,3,3,2,197,109,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,h,796000,SP,7,2,1,1,188,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,h,856000,S,7,2,1,1,261,100,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,670000,VB,7,3,1,1,477,120,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,4,h,706000,S,7,2,1,0,165,93,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,1050000,S,7,2,2,1,462,132,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,u,410000,PI,7,2,0,0,0,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,4,h,1320000,SP,7,4,2,1,319,171,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,t,482500,SP,7,,,,,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,1414000,S,7,3,2,2,230,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,5,h,1815000,S,7,5,2,2,644,172,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,h,630000,PI,7,2,1,1,148,79,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,4,h,1870000,S,7,4,1,3,766,167,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,4,h,1785000,S,7,4,2,2,640,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,u,330000,VB,7,2,1,1,0,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,1930000,S,7,3,1,4,902,129,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,1035000,S,7,3,1,2,289,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,1,u,510000,SP,7,1,1,2,0,83,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,u,381000,PI,7,2,1,1,0,65,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,t,1040000,S,7,2,2,0,352,152,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,1419000,SP,7,3,1,2,270,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,1050000,S,7,3,1,2,442,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,1,h,470000,PI,7,1,1,2,0,83,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,850000,S,7,3,1,1,444,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,u,501344,SP,7,2,1,1,0,72,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,u,550000,SP,7,,,,,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,796000,S,7,3,1,1,464,120,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,u,666300,SP,7,,,,,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,1217500,PI,7,3,3,1,217,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,h,610000,SP,7,2,0,0,94,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,1055000,S,7,3,1,3,670,116,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,t,620000,VB,7,3,3,1,0,141,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,4,h,660000,PI,7,4,1,2,360,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,681000,S,7,2,1,1,446,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,1,u,345000,S,7,1,1,1,0,47,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,t,705000,SP,7,,,,,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,950000,SP,7,3,1,2,240,84,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,955000,S,7,3,1,1,202,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,h,822000,S,7,2,1,3,539,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,h,760000,S,7,3,1,1,472,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,4,h,1200000,S,7,4,2,2,417,157,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,1005000,S,7,3,1,1,438,115,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,600000,VB,7,4,1,1,0,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,1,u,381000,S,7,1,1,1,0,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,876000,S,7,,,,,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,4,h,1150000,S,7,4,2,2,482,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,1020000,PI,7,3,1,1,248,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,1250000,VB,7,3,2,1,249,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,4,h,1340000,VB,7,4,2,0,297,175,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,865000,SP,7,3,1,1,189,87,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,781500,S,7,2,1,2,341,132,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,4,h,1401000,S,7,4,1,1,306,133,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,h,630000,S,7,2,2,2,168,121,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,5,h,1137500,S,7,2,3,4,446,244,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,4,h,925000,S,7,4,1,1,288,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,u,676000,SP,7,,,,,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,745000,S,7,2,1,1,325,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,4,h,1158000,S,7,4,1,3,411,96,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,867000,S,7,3,1,1,195,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,955000,S,7,3,2,2,206,173,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,1081000,SP,7,3,1,1,448,104,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,725000,S,7,3,1,5,558,128,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,h,767000,S,7,2,1,0,128,80,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,h,951000,S,7,2,1,3,486,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,4,h,1028000,S,7,4,2,2,431,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,h,740000,S,7,2,1,0,261,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,1450000,S,7,3,2,2,542,211,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,1430000,SP,7,3,3,2,386,172,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,1275000,SP,7,3,1,2,229,128,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,4,h,1606000,SP,7,4,2,3,455,178,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,4,h,970000,PI,7,3,1,2,664,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,865000,S,7,,,,,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,h,780000,S,7,2,1,1,435,114,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,670000,PI,7,3,1,1,463,119,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,908000,S,7,3,2,0,105,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,1380000,S,7,3,2,2,235,144,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,966000,S,7,3,2,2,456,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,u,480500,SP,7,2,1,1,0,65,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,4,h,1520000,VB,7,4,2,0,261,160,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,845000,S,7,3,1,2,494,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,5,h,1287000,S,7,5,2,2,488,213,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,980000,S,7,3,1,2,463,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,t,800000,VB,7,3,2,1,169,150,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,1460000,SP,7,3,1,2,463,119,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,840000,S,7,4,1,1,470,127,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,900500,S,7,2,1,1,208,100,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,2,h,850000,S,7,2,1,1,201,,Maribyrnong City Council,Western Metropolitan,6543
Yarraville,3,h,940000,S,7,3,2,2,171,146,Maribyrnong City Council,Western Metropolitan,6543
Aberfeldie,1,u,380000,S,9.1,1,1,1,0,39,Moonee Valley City Council,Western Metropolitan,1543
